PLAYER,MATCH UP,GAME DATE,W/L,MIN,PTS
Tyrese Maxey,PHI vs. NYK,01/05/2024,L,36,27
Joel Embiid,PHI vs. NYK,01/05/2024,L,36,30
Jayson Tatum,BOS @ IND,01/06/2024,W,38,38
Giannis Antetokounmpo,MIL @ HOU,01/06/2024,L,39,48
Jalen Brunson,NYK @ WAS,01/06/2024,W,35,33
Tyrese Maxey,PHI vs. UTA,01/06/2024,L,42,25
Trae Young,ATL @ ORL,01/07/2024,L,42,31
Stephen Curry,GSW vs. TOR,01/07/2024,L,30,9
James Harden,LAC @ LAL,01/07/2024,L,39,15
LeBron James,LAL vs. LAC,01/07/2024,W,38,25
Anthony Edwards,MIN @ DAL,01/07/2024,L,37,36
Kevin Durant,PHX vs. MEM,01/07/2024,L,36,23
Victor Wembanyama,SAS @ CLE,01/07/2024,L,25,24
James Harden,LAC vs. PHX,01/08/2024,W,30,19
Giannis Antetokounmpo,MIL vs. UTA,01/08/2024,L,38,25
Shai Gilgeous-Alexander,OKC @ WAS,01/08/2024,W,36,32
Kevin Durant,PHX @ LAC,01/08/2024,L,35,30
